id|name|legend|faction_id|description|Unnamed: 5
8535|Titanicus Traitoris||TL|You can use the ADEPTUS TITANICUS datasheets in this document to represent TITANICUS TRAITORIS models if you wish. To do so, on those datasheets and on this Army Rules card, replace all instances of the IMPERIUM keyword with CHAOS, and replace all instances of the ADEPTUS TITANICUS Faction keyword with TITANICUS TRAITORIS. For the purposes of points values, use those published for the equivalent ADEPTUS TITANICUS models.|
8536|Designers Note||TL|Designers Note: Titans are colossal war machines that can turn the tide of battle. As such, the points values of some of these models are greater than even Onslaught-sized battles can accommodate; they are designed for battlefields of the most apocalyptic scale you can imagine!|
8537|Unaligned Forces||UN|You can include UNALIGNED FORCES units in your army even if they do not have the Faction keyword you selected in the Select Army Faction step. The combined points value of UNALIGNED FORCES units you can include in your army depends on the battle size, as follows:Incursion: Up to 250 ptsStrike Force: Up to 500 ptsOnslaught: Up to 1000 ptsNo UNALIGNED FORCES models can be your WARLORD.|
8538|Super-heavy Walker||TL|"Each time a model with this ability makes a Normal, Advance or Fall Back move, it can move over models (excluding TITANIC models) and terrain features that are 4"" or less in height as if they were not there."|
8767|The Unforgiven|None fight with more grim determination than the sons of the Lion, and their specialised companies - known as the Deathwing and the Ravenwing in the case of the Dark Angels - are the bane of their terrified foes.|SM|If an ADEPTUS ASTARTES unit has a second Faction keyword on its datasheet, that Faction keyword is the name of that units Chapter. For example, Asmodai has both the ADEPTUS ASTARTES and DARK ANGELS Faction keywords, and is therefore from the Dark Angels Chapter.You cannot include units from more than one Chapter in your army.Designers Note: The rules presented in this section assume that the ADEPTUS ASTARTES units in your army are from the Dark Angels Chapter, but they can also be used to represent any Dark Angels successor Chapter, such as one described in the background section of this book, or even one of your own invention. However, players who wish to faithfully recreate the Dark Angels Chapter on the tabletop should only include Dark Angels Epic Heroes if their collection is intended to represent the First Founding Chapter itself; Ezekiel is the Chief Librarian of the Dark Angels, for example, and not of any of their successors.|
8768|The Ravenwing||SM|The following ADEPTUS ASTARTES units gain the Ravenwing keyword if they are drawn from the Dark Angels Chapter:Mounted unitsVehicle units that can FLY|
8808|The Deathwing||SM|The following ADEPTUS ASTARTES units gain the Deathwing keyword if they are drawn from the Dark Angels Chapter:Terminator unitsBladeguard Ancient, Bladeguard Veteran Squad, Sternguard Veteran Squad and Vanguard Veteran Squad with Jump Packs unitsLand Raider, Land Raider Crusader, Land Raider Redeemer, Repulsor and Repulsor Executioner unitsDreadnought units|
9183|The Sons of Sanguinius|The noble Blood Angels favour swift, mobile warfare. Clad in crimson, the Sons of Sanguinius close in on their foes with lightning speed. Above, angels clad in burnished gold soar from the heavens to crash into their foes. The Death Company, afflicted by a terrible genetic curse, thunder into the foe with inhuman savagery, their black plate flecked with the blood of their victims.|SM|If an ADEPTUS ASTARTES unit has a second Faction keyword on its datasheet, that Faction keyword is the name of that unit's Chapter. For example, Lemartes has both the ADEPTUS ASTARTES and BLOOD ANGELS Faction keywords, and is therefore from the Blood Angels Chapter.You cannot include units from more than one Chapter in your army.Designers Note: The rules presented in this section assume that the ADEPTUS ASTARTES units in your army are from the Blood Angels Chapter, but they can also be used to represent any Blood Angels successor Chapter, such as one described in the background section of this book, or even one of your own invention. However, players who wish to faithfully recreate the Blood Angels Chapter on the tabletop should only include Blood Angels Epic Heroes if their collection is intended to represent the First Founding Chapter itself; Mephiston is the Chief Librarian of the Blood Angels, for example, and not of any of their successors.|
9792|Kill Teams|When faced with an array of missions to complete and varying enemies to lay low, the Deathwatch are highly adept at forming effective kill teams that mesh starkly diverse armour and equipment.|SM|Each time an attack targets a Kill Team unit from your army that contains models with different Toughness characteristics, until the attacking unit has finished making its attacks, use the Toughness characteristic of the majority of the models in that unit when determining what result is required for that attack to successfully wound. If two or more Toughness characteristics are tied for majority, use the highest Toughness characteristic.For the purposes of determining which models can embark within a Transport model, KILL TEAM models follow the normal restrictions listed on the TRANSPORT model.|
9853|Deathwatch||SM|Your army can include Adeptus Astartes Deathwatch units, but it cannot include any ADEPTUS ASTARTES units drawn from any other Chapter.With the exception of Kill Team Cassius (see Legends: Agents of the Imperium), your army cannot include any Agents of the Imperium Deathwatch units.Your army cannot include any of the following units: Assault Squad; Assault Squad with Jump Packs; Attack Bike Squad; Devastator Squad; Land Speeder Storm; Relic Terminator Squad; Scout Bike Squad; Scout Squad; Scout Sniper Squad; Tactical Squad; Terminator Assault Squad; Terminator Squad.|
9894|Battle Focus|In war, as in all things, the Aeldari bring the full might of their intellect, skill and agility to bear upon the task. Coupled with their exceptional technology, this ensures they move with swiftness and grace that is impossible for the foe to match.|AE|"If your Army Faction is Asuryani, at the start of the battle round, you receive a number of Battle Focus tokens based on the battle size, as shown in the table below.BATTLE SIZEBATTLE FOCUS TOKENSIncursion2Strike Force4Onslaught6Each time one of the triggers shown in the Agile Manoeuvres section below occurs, you can spend one Battle Focus token to enable the relevant eligible unit to perform that Agile Manoeuvre. A unit is eligible to perform an Agile Manoeuvre if it has this ability and has not already performed an Agile Manoeuvre in the same phase. Unless otherwise stated, you cannot trigger the same Agile Manoeuvre more than once per phase. At the end of the battle round, all unspent Battle Focus tokens are lost.AGILE MANOEUVRESSWIFT AS THE WINDTRIGGER: When an eligible unit from your army is selected to make a Normal, Advance or Fall Back move. You can trigger this Agile Manoeuvre more than once per phase (provided a different unit performs it each time).EFFECT: Until the end of the phase, add 2"" to the Move characteristic of models in that unit.FLITTING SHADOWSTRIGGER: When an eligible unit from your army is selected to make a Normal, Advance or Fall Back move, is set up on the battlefield, or declares a charge.EFFECT: Until the end of the turn, enemy units cannot use the Fire Overwatch Stratagem to shoot at that unit.STAR ENGINESTRIGGER: When an eligible VEHICLE unit from your army is selected to make an Advance move.EFFECT: Until the end of the turn, Ranged weapons equipped by this unit have the [ASSAULT] ability.SUDDEN STRIKETRIGGER: When an eligible unit from your army is selected to fight.EFFECT: Until the end of the phase, each time a model in that unit makes a Pile-in or Consolidation move, it can move up to 6"" instead of up to 3"".OPPORTUNITY SEIZEDTRIGGER: When an enemy unit ends a Fall Back move.EFFECT: One eligible unit from your army (excluding TITANIC units) that started the phase within Engagement Range of that enemy unit can make a Normal move of up to D6+1"".FADE BACKTRIGGER: In your opponents Shooting phase, just after an enemy unit has shot.EFFECT: One eligible unit from your army (excluding TITANIC units) that was hit by one or more of those attacks can make a Normal move of up to D6+1""."|
9894|Battle Focus|In war, as in all things, the Aeldari bring the full might of their intellect, skill and agility to bear upon the task. Coupled with their exceptional technology, this ensures they move with swiftness and grace that is impossible for the foe to match.|DRU|"If your Army Faction is Asuryani, at the start of the battle round, you receive a number of Battle Focus tokens based on the battle size, as shown in the table below.BATTLE SIZEBATTLE FOCUS TOKENSIncursion2Strike Force4Onslaught6Each time one of the triggers shown in the Agile Manoeuvres section below occurs, you can spend one Battle Focus token to enable the relevant eligible unit to perform that Agile Manoeuvre. A unit is eligible to perform an Agile Manoeuvre if it has this ability and has not already performed an Agile Manoeuvre in the same phase. Unless otherwise stated, you cannot trigger the same Agile Manoeuvre more than once per phase. At the end of the battle round, all unspent Battle Focus tokens are lost.AGILE MANOEUVRESSWIFT AS THE WINDTRIGGER: When an eligible unit from your army is selected to make a Normal, Advance or Fall Back move. You can trigger this Agile Manoeuvre more than once per phase (provided a different unit performs it each time).EFFECT: Until the end of the phase, add 2"" to the Move characteristic of models in that unit.FLITTING SHADOWSTRIGGER: When an eligible unit from your army is selected to make a Normal, Advance or Fall Back move, is set up on the battlefield, or declares a charge.EFFECT: Until the end of the turn, enemy units cannot use the Fire Overwatch Stratagem to shoot at that unit.STAR ENGINESTRIGGER: When an eligible VEHICLE unit from your army is selected to make an Advance move.EFFECT: Until the end of the turn, Ranged weapons equipped by this unit have the [ASSAULT] ability.SUDDEN STRIKETRIGGER: When an eligible unit from your army is selected to fight.EFFECT: Until the end of the phase, each time a model in that unit makes a Pile-in or Consolidation move, it can move up to 6"" instead of up to 3"".OPPORTUNITY SEIZEDTRIGGER: When an enemy unit ends a Fall Back move.EFFECT: One eligible unit from your army (excluding TITANIC units) that started the phase within Engagement Range of that enemy unit can make a Normal move of up to D6+1"".FADE BACKTRIGGER: In your opponents Shooting phase, just after an enemy unit has shot.EFFECT: One eligible unit from your army (excluding TITANIC units) that was hit by one or more of those attacks can make a Normal move of up to D6+1""."|
9895|Agile Manoeuvres||AE|"SWIFT AS THE WINDTRIGGER: When an eligible unit from your army is selected to make a Normal, Advance or Fall Back move. You can trigger this Agile Manoeuvre more than once per phase (provided a different unit performs it each time).EFFECT: Until the end of the phase, add 2"" to the Move characteristic of models in that unit.FLITTING SHADOWSTRIGGER: When an eligible unit from your army is selected to make a Normal, Advance or Fall Back move, is set up on the battlefield, or declares a charge.EFFECT: Until the end of the turn, enemy units cannot use the Fire Overwatch Stratagem to shoot at that unit.STAR ENGINESTRIGGER: When an eligible VEHICLE unit from your army is selected to make an Advance move.EFFECT: Until the end of the turn, Ranged weapons equipped by this unit have the [ASSAULT] ability.SUDDEN STRIKETRIGGER: When an eligible unit from your army is selected to fight.EFFECT: Until the end of the phase, each time a model in that unit makes a Pile-in or Consolidation move, it can move up to 6"" instead of up to 3"".OPPORTUNITY SEIZEDTRIGGER: When an enemy unit ends a Fall Back move.EFFECT: One eligible unit from your army (excluding TITANIC units) that started the phase within Engagement Range of that enemy unit can make a Normal move of up to D6+1"".FADE BACKTRIGGER: In your opponents Shooting phase, just after an enemy unit has shot.EFFECT: One eligible unit from your army (excluding TITANIC units) that was hit by one or more of those attacks can make a Normal move of up to D6+1""."|
9896|Disparate Paths||AE|When mustering your army, you can include Harlequins units in your army, even though they do not have the Asuryani Faction keyword. Unless otherwise stated, you cannot select HARLEQUINS or Ynnari as your Army Faction.|
9896|Disparate Paths||DRU|When mustering your army, you can include Harlequins units in your army, even though they do not have the Asuryani Faction keyword. Unless otherwise stated, you cannot select HARLEQUINS or Ynnari as your Army Faction.|
9974|Corsairs and Travelling Players||DRU|If your Army Faction is DRUKHARI, you can include Harlequins and Anhrathe units in your army, even though they do not have the DRUKHARI Faction keyword. The combined points value of HARLEQUINS and/or ANHRATHE units you can include in your army depends on the battle size, as follows:Incursion: Up to 250 ptsStrike Force: Up to 500 ptsOnslaught: Up to 750 ptsNo HARLEQUINS or ANHRATHE models included in your army in this way can be your WARLORD, and they cannot be given Enhancements.|
9994|Thrill Seekers|The Emperors Children are skilled warriors all, their transhuman might enhanced by a lifetime of ceaseless conflict. Their ingrained desire for sensation in all its forms sees them move rapidly across the battlefield, flitting between targets as they attempt to satiate their never-ending hunger for fresh experience.|EC|If your Army Faction is Emperors Children, this unit is eligible to shoot and declare a charge in a turn in which it Advanced or Fell Back, but when doing so:It cannot target a unit it was within Engagement Range of at the start of the turn.It cannot target a unit that was the target of another units charge or attack this phase.|
9994|Thrill Seekers|The Emperors Children are skilled warriors all, their transhuman might enhanced by a lifetime of ceaseless conflict. Their ingrained desire for sensation in all its forms sees them move rapidly across the battlefield, flitting between targets as they attempt to satiate their never-ending hunger for fresh experience.|CSM|If your Army Faction is Emperors Children, this unit is eligible to shoot and declare a charge in a turn in which it Advanced or Fell Back, but when doing so:It cannot target a unit it was within Engagement Range of at the start of the turn.It cannot target a unit that was the target of another units charge or attack this phase.|
9995|Pact of Excess|By enacting the most lurid and excessive acts of ritual violence, the Emperors Children may shatter reality itself and summon forth the daemons of Slaanesh.|EC|When mustering your army, unless specifically stated otherwise, you cannot select Legions of Excess as your Army Faction.|
10071|Pact of Blood|Through acts of frenzied violence and unbound savagery, the World Eaters may open a rent in reality, allowing the daemons of Khorne to spill forth from that infernal domain.|WE|When mustering your army, unless specifically stated otherwise, you cannot select Blood Legions as your Army Faction.|
10120|Pact of Decay|The daemons of Nurgle are not native to realspace, but instead must be summoned through the rotting veil by way of generous sacrifice and acts of foul worship.|DG|When mustering your army, unless specifically stated otherwise, you cannot select Plague Legions as your Army Faction.|
10190|Pact of Sorcery|The daemons of Tzeentch are drawn through the barriers of the Warp by rituals of transmutation.|TS|When mustering your army, unless specifically stated otherwise, you cannot select Scintillating Legions as your Army Faction.|
10256|Curse of the Wulfen|Only while fighting at the side of their battle-brothers can the feral Wulfen control their frenzied aggression.|SM|"While this unit is within 6"" of one or more friendly Space Wolves Character models (excluding Wulfen models) or within 12"" of one or more friendly Wolf Priest models, if it is not Battle-shocked, add 1 to the Objective Control characteristic of Infantry models in it and add 3 to the Objective Control characteristic of Vehicle models in it."|
10257|Sagas|The battles fought and glorious victories won by the Great Companies of Fenris are retold in mighty sagas.|SM|Each Detachment rule in this book includes a Saga you can complete, with additional effects that apply once you have done so.|
10258|Sons of Russ|The Great Companies of the Space Wolves are renowned for their ferocity and steadfast loyalty to the Imperium.|SM|If an Adeptus Astartes unit has a second Faction keyword on its datasheet, that Faction keyword is the name of that units Chapter. For example, Ragnar Blackmane has both the ADEPTUS ASTARTES and Space Wolves Faction keywords, and is therefore from the Space Wolves Chapter.You cannot include units from more than one Chapter in your army.If your army uses any of the Detachments from this book, it can include SPACE WOLVES units, but it cannot include any ADEPTUS ASTARTES units drawn from any other Chapter.Designers Note: The rules presented in this section assume that the ADEPTUS ASTARTES units in your army are from the Space Wolves Chapter, but they can also be used to represent any Space Wolves successor Chapter, such as one described in the background section of this book, or even one of your own invention. However, players who wish to faithfully recreate the Space Wolves Chapter on the tabletop should only include Space Wolves Epic Heroes if their collection is intended to represent the First Founding Chapter itself; Logan Grimnar is the Great Wolf of the Space Wolves, for example, and not of any of their successors.|
10345|Gate of Infinity|Few can command the powers of the Warp with anything like the skill and control of the Grey Knights. So masterful is their sorcery that they can conjure glowing empyric gateways to step in and out of reality. In this way, they swiftly outflank their foes and redeploy their forces to counter threats, kept safe during their split-second Warp travel by the intricate wards worked into their wargear.|GK|If your Army Faction is GREY KNIGHTS, at the end of your opponents Fight phase, you can select a number of units (see below) from your army that are on the battlefield (excluding units that are within Engagement Range of one or more enemy units), provided every model in those units has this ability. The maximum number of units you can select depends on the battle size, as follows:BATTLE SIZENUMBER OF UNITSIncursionUp to 2 unitsStrike ForceUp to 3 unitsOnslaughtUp to 4 unitsOnce you have made your selections, remove those units from the battlefield and place them into Strategic Reserves.|
10389|Heirs of Sigismund||SM|If an ADEPTUS ASTARTES unit has a second Faction keyword on its datasheet, that Faction keyword is the name of that units Chapter. For example, High Marshal Helbrecht has both the ADEPTUS ASTARTES and BLACK TEMPLARS Faction keywords, and is therefore from the Black Templars Chapter.You cannot include units from more than one Chapter in your army.If your army includes one or more units from the Black Templars Chapter or you are using one of the Detachments found below:ADEPTUS ASTARTES units from your army lose the Oath of Moment army rule (if they have it), and it is replaced with the Templar Vows army rule (see above).You cannot use the 1st Company Task Force Detachment (see Codex: Space Marines).Your army cannot include any Adeptus Astartes Psyker models.Your army cannot include the following datasheets from Codex: Space Marines: Gladiator Lancer; Gladiator Reaper; Gladiator Valiant; Impulsor; Land Raider Crusader; Repulsor; Repulsor Executioner; Sternguard Veteran Squad; Terminator Squad.|
10432|Prioritised Efficiency|As the Kin truth describes, Luck has. Need keeps. Toil earns. The kinhosts ability to efficiently switch its strategic footing embodies this wisdom. It results from swift assessments of a foes possessions, how best to seize them for the kindreds need and then to stubbornly toil to hold them against counterattacks.|LoV|If your Army Faction is LEAGUES OF VOTANN, Leagues of Votann units from your army have one of two abilities: Hostile Acquisition or Fortify Takeover (see below). During the battle, which ability those LEAGUES OF VOTANN units have will change depending on how many Yield points (YP) you currently have:At the start of the battle, your units have Hostile Acquisition until the start of your next Command phase.At the end of your Command phase, if you have fewer than 7YP, your units have Hostile Acquisition until the start of your next Command phase.At the end of your Command phase, if you have 7YP or more, your units have Fortify Takeover until the start of your next Command phase.Hostile AcquisitionEach time a model in this unit makes an attack that targets an enemy unit within range of one or more objective markers, add 1 to the Hit roll.You can re-roll Advance and Charge rolls made for this unit.Fortify TakeoverEach time a model in this unit makes an attack that targets an enemy unit, if this unit is within range of one or more objective markers you control, add 1 to the Hit roll.Each time an attack targets this unit, if the Strength characteristic of that attack is greater than this units Toughness characteristic and this unit is not a VEHICLE, subtract 1 from the Wound roll.Yield PointsAt the end of each players Command phase, you gain 1YP if you control one or more objective markers within your deployment zone, and, from the second battle round onwards, you gain 1 additional YP for each of the following conditions you satisfy:You control one or more objective markers not within your deployment zone.You control two or more objective markers not within your deployment zone.You control more objective markers than your opponent.In your turn, YP gained in this way are always gained before checking which ability LEAGUES OF VOTANN units from your army have.Whenever a rule allows you to spend YP, reduce the number of YP you have by that amount (your YP cannot go below 0), otherwise you cannot use that rule.Designers Note: This means you can use rules that let you gain or spend YP to influence which ability your units have - Hostile Acquisition or Fortify Takeover - depending on which will be most beneficial to you. Remember that your army only changes ability at the end of your Command phase, so you will - sometimes need to plan ahead if you want your army to stay in or change ability.Example: In her third turn, Freidas units had the Hostile Acquisition ability, as she had 6YP at the end of her Command phase. In her fourth turn, at the end of her Command phase, she controls one objective marker within her deployment zone, and one objective marker not within her deployment zone, and her opponent controls two objective markers. Freida gains 2YP, so she now has 8YP, and her units now have the Fortify Takeover ability instead.During her turn, Freida uses a Stratagem that allows her to spend YP. She spends 2YP, bringing her total down to 6YP. However, units from her army still have Fortify Takeover - it will only change if, at the end of her next Command phase, she still has fewer than 7YP.|
