faction_id|name|id|type|cp_cost|legend|turn|phase|detachment|detachment_id|description|Unnamed: 11
ORK|UNBRIDLED CARNAGE|8366004|War Horde  Battle Tactic Stratagem|1.0|When Orks get stuck into the foe, the carnage is wonderful to behold, at least for other Orks.|Either players turn|Fight phase|War Horde|852.0|WHEN: Fight phase.TARGET: One ORKS unit from your army that has not been selected to fight this phase.EFFECT: Until the end of the phase, each time a model in your unit makes a melee attack, an unmodified hit roll of 5+ scores a Critical Hit.|
ORK|ARD AS NAILS|8366005|War Horde  Battle Tactic Stratagem|1.0|Even the lowliest Ork Boy has a toughened hide and a dense skull. While there yet remains the prospect of a git to give a good kicking, it takes a blow of truly phenomenal strength to even give the Ork pause.|Either players turn|Shooting or Fight phase|War Horde|852.0|WHEN: Your opponents Shooting phase or the Fight phase, just after an enemy unit has selected its targets.TARGET: One ORKS unit from your army (excluding Grots, Monster and Vehicle units) that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time an attack targets your unit, subtract 1 from the Wound roll.|
ORK|ORKS IS NEVER BEATEN|8366003|War Horde  Epic Deed Stratagem|2.0|So resilient is Ork physiology  and so slow are Orks on the uptake  that even killing wounds can take a while to register.|Either players turn|Fight phase|War Horde|852.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One ORKS unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time a model in your unit is destroyed, if that model has not fought this phase, do not remove it from play. The destroyed model can fight after the attacking models unit has finished making attacks, and is then removed from play.|
ORK|CAREEN!|8366002|War Horde  Epic Deed Stratagem|1.0|If their vehicle is on its last legs, any Ork worth their steering wheel will aim its blazing remains into the nearest cluster of enemies. The ensuing explosions never fail to raise a rousing cheer from nearby Ork onlookers.|Either players turn|Any phase|War Horde|852.0|WHEN: Any phase, just after an Orks Vehicle unit from your army with the Deadly Demise ability is destroyed.TARGET: That destroyed ORKS VEHICLE unit, if you roll a 6 for its Deadly Demise ability. You can use this Stratagem on that unit even though it was just destroyed.EFFECT: Your unit can make a Normal or Fall Back move before its Deadly Demise ability is resolved, and before any embarked units perform an Emergency Disembarkation. When making this move, your unit can move over enemy units (excluding MONSTERS and VEHICLES) as if they were not there.|
QI|STEADFAST SUPERIORITY|10498004|Gate Warden Lance  Battle Tactic Stratagem|1.0|Once tasked with preserving a war zones sanctity, a Knight will fight with unbowed destructive ferocity, unyielding in their anger while foes remain.|Either players turn|Fight phase|Gate Warden Lance|1107.0|WHEN: Fight phase.TARGET: One Imperial Knights unit from your army that is within Engagement Range of one or more enemy units, that is on your defensive line and that has not already been selected to fight this phase.EFFECT: Until the end of the phase, each time a model in your unit makes an attack, you can re-roll the Hit roll.|
QI|DRIVE THEM OUT!|10498002|Gate Warden Lance  Battle Tactic Stratagem|1.0|Drawing upon their indignant fury at a repugnant incursion into their realm, Nobles pilot their Knight suits in an aggressive purgation of the breach.|Either players turn|Shooting phase|Gate Warden Lance|1107.0|WHEN: Your Shooting phase or the Fight phase.TARGET: One Imperial Knights unit from your army that has not been selected to shoot or fight this phase.EFFECT: Until the end of the phase, each time a model in your unit makes an attack that targets an enemy unit on your defensive line, an unmodified Hit roll of 5+ scores a Critical Hit.|
QI|MARSHAL THE DEFENCE|10498005|Gate Warden Lance  Battle Tactic Stratagem|1.0|When the cry goes up to redress their defensive positions - to shut down incursions or leave assaulting enemies flat-footed and vulnerable - the Nobles pour power into their Knights servos.|Your turn|Movement phase|Gate Warden Lance|1107.0|"WHEN: Your Movement phase.TARGET: Up to two Imperial Knights units from your army that have not been selected to move this phase.EFFECT: Until the end of the phase, add 3"" to the Move characteristic of models in your units."|
QI|TITANIC BOMBARDMENT|10498006|Gate Warden Lance  Battle Tactic Stratagem|1.0|Like an imperious artillery captain atop their gatehouse, the Noble directs a deluge of apocalyptic firepower into the enemy's seething tides.|Your turn|Shooting phase|Gate Warden Lance|1107.0|WHEN: Your Shooting phase.TARGET: One Imperial Knights Titanic unit from your army that Remained Stationary this turn, that is on your defensive line and that has not been selected to shoot this phase.EFFECT: Until the end of the phase, ranged weapons equipped by models in your unit have the [SUSTAINED HITS 2] ability.|
QI|FORTRESS OF INTIMIDATION|10498007|Gate Warden Lance  Epic Deed Stratagem|1.0|Rising like towering keeps armed with threatening weapons and inscribed with heraldry proclaiming bloody victories in countless campaigns, Imperial Knights are daunting prospects to engage.|Opponents turn|Charge phase|Gate Warden Lance|1107.0|WHEN: Start of your opponents Charge phase.TARGET: One Imperial Knights Titanic unit from your army that is on your defensive line.EFFECT: Until the end of the phase, each time an enemy unit selects your unit as a target of a charge, that unit must take a Battle-shock test, subtracting 1 from the result.|
QI|LANCEBREAKER|10498003|Gate Warden Lance  Strategic Ploy Stratagem|1.0|With a command, experienced Nobles can lock huge actuators into position, bring reserve power cells into wakefulness and shunt extra shielding into place to make their Knightly steed a bastion of defiance.|Either players turn|Fight phase|Gate Warden Lance|1107.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One Imperial Knights unit from your army that was selected as the target of one or more of the attacking units attacks and is on your defensive line.EFFECT: Until the end of the phase, each time an attack targets your unit, if the Strength characteristic of that attack is greaterthan the Toughness characteristic of your unit, subtract 1 from the Wound roll|
QI|BONDED IMPERATIVE|9762004|Questor Forgepact  Epic Deed Stratagem|1.0|Tapping into the noospheric battle-sphere, this Noble pilot issues binharic commands directly into the minds of Adeptus Mechanicus allies.|Your turn|Command phase|Questor Forgepact|988.0|"WHEN: Your Command phase, just before an Imperial Knights Character unit from your army uses a Bondsman ability.TARGET: That IMPERIAL KNIGHTS CHARACTER unit.EFFECT: When selecting targets for that use of that Bondsman ability, you can select one friendly Adeptus Mechanicus unit within 12"" of your unit in addition, or instead of selecting one Armiger model. Until the start of your next Command phase, every model in that ADEPTUS MECHANICUS unit is affected by that Bondsman ability.RESTRICTIONS: You cannot target a Knight Preceptor with this Stratagem."|
QI|THRONEGHEIST FURY|9762007|Questor Forgepact  Strategic Ploy Stratagem|1.0|As augurs detect enemy movements, the pilots Throne Mechanicum comes alive with the whispered fury of their ancestors. Weapon systems flare instinctively to life, dispensing the hatred of long-dead Nobles upon the unfortunate foe.|Opponents turn|Movement phase|Questor Forgepact|988.0|"WHEN: Your opponents Movement phase, just after an enemy unit is set up or ends a Normal, Advance, or Fall Back move.TARGET: One Imperial Knights Titanic unit from your army that is within 24"" of and visible to that enemy unit.EFFECT: Select one ranged weapon equipped by a model in your unit. That model can shoot at that enemy unit (and only if it is an eligible target). When doing so, that model can only make attacks with that weapon and each time it makes a ranged attack, an unmodified Hit roll of 6 is required to score a hit, irrespective of the attacking weapons Ballistic Skill or any modifiers."|
QI|AGGRESSION BEGETS AGGRESSION|9762006|Questor Forgepact  Strategic Ploy Stratagem|1.0|Driven by the wrathful whisperings of their Throne Mechanicum, the Noble pilot guides their Knight suit forward, weapons blazing with every step. Inspired by their titanic ally, the warriors of the Adeptus Mechanicus follow suit, pushing their cybernetic systems to the limit.|Your turn|Shooting phase|Questor Forgepact|988.0|"WHEN: Your Shooting phase.TARGET: One Imperial Knights unit from your army or one Imperial Knights Character unit from your army and one friendly Adeptus Mechanicus unit that is within 6"" of that unit.EFFECT: Until the end of the phase, ranged weapons equipped by models in your units have the [ASSAULT] ability."|
QI|MACHINE FOCUS|9762005|Questor Forgepact  Strategic Ploy Stratagem|1.0|Soothing psalm programs inloaded by Tech-Priests focus targeting arrays and enhance the responsiveness of the Noble pilots mighty Knight suit.|Your turn|Command phase|Questor Forgepact|988.0|WHEN: Your Command phase.TARGET: One Imperial Knights unit from your army.EFFECT: Until the start of your next turn, your unitcan ignore any or all modifiers to the following: the Weapon Skill or Ballistic Skill characteristics of weapons equipped by its models; any Hit roll or Wound roll made for it.|
QI|VENGEANCE OF THE MACHINE CULT|9762003|Questor Forgepact  Strategic Ploy Stratagem|1.0|Those who dare to fell the Machine Gods creations find themselves subject to the vengeance of the Adeptus Mechanicus.|Either players turn|Any phase|Questor Forgepact|988.0|WHEN: Any phase.TARGET: One Imperial Knights unit from your army that was just destroyed. You can use this Stratagem on that unit even though it was just destroyed.EFFECT: Until the end of the battle, the enemy unit that destroyed your unit is Marked. Each time an Adeptus Mechanicus model from your army makes an attack that targets a Marked unit, that attack has the [LETHAL HITS] ability.|
QI|OMNISSIAHS GRACE|9762002|Questor Forgepact  Strategic Ploy Stratagem|1.0|So resolute is their faith that the Machine Gods worshippers brave storms of killing fire, trusting in the Omnissiah to shield them from harm.|Either players turn|Any phase|Questor Forgepact|988.0|WHEN: Any phase, just after a mortal wound is allocated to an Imperial Knights or Adeptus Mechanicus unit from your army.TARGET: That IMPERIAL KNIGHTS or ADEPTUS MECHANICUS unit.EFFECT: Until the end of the phase, models in your unit have the Feel No Pain 5+ ability against mortal wounds.|
QI|MOMENT OF GLORY|10503004|Questoris Companions  Epic Deed Stratagem|1.0|Veteran pilots waste no more time exalting their victory than the Code Chivalric demands before powering back into the fray with the long strides of the selflessly determined warrior Noble.|Either players turn|Fight phase|Questoris Companions|1108.0|"WHEN: Fight phase, just before an Imperial Knights Titanic unit from your army Consolidates.TARGET: That IMPERIAL KNIGHTS TITANIC unit.EFFECT: Until the end of the phase, each time your unit Consolidates, models in it can move an additional 3"" provided your unit can end that move within Engagement Range of one or more enemy units."|
QI|COURAGEOUS STAND|10503002|Questoris Companions  Epic Deed Stratagem|1.0|When the night is long and the unworthy claw at one's shield, it is chivalry and duty that buoy the soul and bolster failing strength.|Either players turn|Shooting or Fight phase|Questoris Companions|1108.0|WHEN: Your opponents Shooting phase or the Fight phase, just after an enemy unit has selected its targets.TARGET: One Imperial Knights Titanic unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, models in your unit have the Feel No Pain 6+ ability.|
QI|TITANIC DUEL|10503003|Questoris Companions  Epic Deed Stratagem|1.0|The greatest Knightly champions suffer no dishonourable rival to insult them for long with their existence.|Either players turn|Shooting or Fight phase|Questoris Companions|1108.0|WHEN: Your Shooting phase or the Fight phase.TARGET: One Imperial Knights Titanic model from your army that has not been selected to shoot or fight this phase.EFFECT: Until the end of the phase, each time your model makes an attack that targets a MONSTER, TITANIC or WALKER unit, add 1 to the Hit roll and add 1 to the Wound roll.|
QI|UNSTOPPABLE WARRIOR|10503006|Questoris Companions  Epic Deed Stratagem|2.0|Death is a distant priority when heroism's favour awaits. A breath to seize a new perspective, a new angle at which to tilt towards the foe, permits only a brief reprieve for the enemy of a true warrior.|Your turn|Movement phase|Questoris Companions|1108.0|WHEN: Your Movement phase, just after an Imperial Knights Titanic unit from your army Falls Back.TARGET: That IMPERIAL KNIGHTS TITANIC unit.EFFECT: Until the end of the turn, your unit is eligible to shoot and declare a charge in a turn in which it Fell Back.|
QI|DRIVEN BY THE PAST|10503007|Questoris Companions  Epic Deed Stratagem|1.0|To the worthiest Noble, the whispers that reach their mind from a Throne Mechanicum appear as a tapestry of virtues, standards they strive to meet with wholehearted alacrity.|Your turn|Charge phase|Questoris Companions|1108.0|WHEN: Your Charge phase.TARGET: One Imperial Knights Titanic unit from your army.EFFECT: Until the end of the turn, your unit is eligible to declare a charge in a turn in which it Advanced.|
QI|HEROS TREAD|10503005|Questoris Companions  Epic Deed Stratagem|1.0|It is said that unalloyed heroism can purge the foulest dishonour, that the very footsteps of those of noblest purity are enough to sanctify their path.|Your turn|Command phase|Questoris Companions|1108.0|WHEN: End of your Command phase.TARGET: One Imperial Knights Titanic model from your army that is within range of an objective marker you control.EFFECT: Your Level of Control over that objective marker is 5 (unless it would otherwise be higher), until your opponents Level of Control over that objective marker is greater than yours at the end of a phase.|
QI|VIRTUE OF COURAGE|10507002|Spearhead-At-Arms  Battle Tactic Stratagem|1.0|A Knight must have the courage to face the greatest horrors of the galaxy, with duty focusing their blows.|Either players turn|Fight phase|Spearhead-At-Arms|1109.0|WHEN: Start of the Fight phase.TARGET: One Armiger model from your army, or one Imperial Knights Titanic model from your army, and one or more friendly ARMIGER models affected by that models Bondsman ability.EFFECT: Select one enemy unit. Until the end of the phase, each time one of your ARMIGER models makes an attack that targets that enemy unit, add 1 to the Hit roll.|
QI|EXEMPLARS WISDOM|10507003|Spearhead-At-Arms  Battle Tactic Stratagem|1.0|With a fusillade upon their chosen enemy, the Bondsmen's mentor lectures their loyal servants on the application offeree to the foe's weak points.|Your turn|Shooting phase|Spearhead-At-Arms|1109.0|WHEN: Your Shooting phase, just after an Imperial Knights Titanic model from your army has shot.TARGET: That IMPERIAL KNIGHTS TITANIC model, and one or more friendly Armiger models affected by that models Bondsman ability.EFFECT: Select one enemy unit hit by one or more of those attacks. Until the end of the phase, each time one of your ARMIGER models makes an attack that targets that enemy unit, improve the Armour Penetration characteristic of that attack by 1.|
QI|THIN THEIR RANKS|10507005|Spearhead-At-Arms  Battle Tactic Stratagem|1.0|A stentorian firing solution floods their Helms Mechanicum, and eager young Nobles shred their master's foes in a blizzard of fury.|Your turn|Shooting phase|Spearhead-At-Arms|1109.0|WHEN: Start of your Shooting phase.TARGET: One Armiger model from your army, or one Imperial Knights Titanic model from your army, and one or more friendly ARMIGER models affected by that models Bondsman ability.EFFECT: Until the end of the phase, ranged weapons equipped by your ARMIGER models have the [RAPID FIRE 1] ability.|
QI|LET DUTY BE YOUR SHIELD|10507006|Spearhead-At-Arms  Epic Deed Stratagem|1.0|Heeding the teachings of their Noble master, a Bondsman is reminded that only by enduring can they hope to discharge their sworn obligations.|Opponents turn|Shooting phase|Spearhead-At-Arms|1109.0|WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One Armiger unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.|
QI|MANTLE OF THE MENTOR|10507004|Spearhead-At-Arms  Strategic Ploy Stratagem|1.0|With a rapid volley of covering fire from a Noble liege, Bondsmen employ hit-and-run tactics at high speed.|Your turn|Shooting phase|Spearhead-At-Arms|1109.0|WHEN: Start of your Shooting phase.TARGET: One Armiger model from your army, or one Imperial Knights Titanic model from your army, and one or more friendly ARMIGER models affected by that models Bondsman ability.EFFECT: Until the end of the phase, your ARMIGER models are eligible to shoot in a turn in which they Fell Back.|
QI|SQUIRES OFTHE HUNT|10507007|Spearhead-At-Arms  Strategic Ploy Stratagem|1.0|At a ritualised signal, Bondsmen encircle the foe to cut off escape, prowling onto unexpected attack routes.|Opponents turn|Fight phase|Spearhead-At-Arms|1109.0|"WHEN: End of your opponents Fight phase.TARGET: One Armiger model from your army, or one Imperial Knights Titanic model from your army, and one or more friendly ARMIGER models affected by that models Bondsman ability.EFFECT: For each of your ARMIGER models that is within 9"" of one or more battlefield edges and not within Engagement Range of one or more enemy units, remove that ARMIGER model from the battlefield and place it into Strategic Reserves."|
QI|FULL TILT|10494004|Valourstrike Lance  Battle Tactic Stratagem|2.0|With their fellows' oaths ringing through the vox-net and the rush of battle coursing through their veins, Noble pilots pour power into their steeds' motive actuators and thunder onwards.|Your turn|Movement phase|Valourstrike Lance|1106.0|"WHEN: Your Movement phase.TARGET: One Imperial Knights unit from your army that has not been selected to move this phase.EFFECT: Until the end of the phase, add 2"" to the Move characteristic of your models and add 2 to Advance rolls made for those models units."|
QI|THUNDERSTOMP|10494003|Valourstrike Lance  Battle Tactic Stratagem|1.0|The Noble brings their Knight suits weight down with the force of an industrial piledriver, trampling their honourless foes beneath their iron tread.|Either players turn|Fight phase|Valourstrike Lance|1106.0|WHEN: Fight phase.TARGET: One Imperial Knights model from your army that has not been selected to fight this phase.EFFECT: Until the end of the phase, the Attacks characteristic of any armoured Feet melee weapons equipped by your model is 8, the Attacks characteristic of any titanic Feet melee weapons equipped by your model is 12, and improve the Armour Penetration characteristic of those weapons by 1.|
QI|TACTICAL FOIL|10494006|Valourstrike Lance  Strategic Ploy Stratagem|1.0|The neural bond through their Throne Mechanicum enables seasoned pilots to accomplish swift counter-monoeuvres seemingly impossible for such towering war engines.|Opponents turn|Movement phase|Valourstrike Lance|1106.0|"WHEN: Your opponents Movement phase, just after an enemy unit ends a Normal, Advance or Fall Back move.TARGET: One Imperial Knights model from your army that is within 9"" of that unit.EFFECT: Your model can make a Normal move of up to D6""."|
QI|RUN THEM THROUGH!|10494002|Valourstrike Lance  Strategic Ploy Stratagem|1.0|With deafening challenges blaring from their emitters, honour-bound comrades slam into their foes, where the Nobles' martial prowess and their Knight suits overwhelming power are wedded to overcome the most monstrous resilience.|Either players turn|Fight phase|Valourstrike Lance|1106.0|WHEN: Fight phase.TARGET: One Imperial Knights unit from your army that has not been selected to fight this phase.EFFECT: Until the end of the phase, melee weapons equipped by your models have the [LANCE] ability.|
QI|VOW OF RETRIBUTION|10494005|Valourstrike Lance  Strategic Ploy Stratagem|1.0|With the swearing of cooperative pacts, Knightly companions vow to visit annihilation on their enemies in a searing barrage of retributive firepower.|Your turn|Shooting phase|Valourstrike Lance|1106.0|WHEN: Your Shooting phase.TARGET: One Imperial Knights unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, ranged weapons equipped by your models have the [LETHAL HITS] ability.|
QI|ROTATE ION SHIELDS|10494007|Valourstrike Lance  Wargear Stratagem|1.0|Veteran Knight pilots can swiftly re-angle their ion shields and manipulate their energies to deflect incoming firepower.|Opponents turn|Shooting phase|Valourstrike Lance|1106.0|WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One Imperial Knights unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, models in your unit have a 4+ invulnerable save.|
QT|ANIMALISTIC RAGE|10313005|Houndpack Lance  Battle Tactic Stratagem|1.0|Many War Dog pilots are bitter and twisted souls whose hearts are filled with animalistic rage, and they will vent that anger with their last dying gasp.|Either players turn|Shooting or Fight phase|Houndpack Lance|1077.0|WHEN: Your opponents Shooting phase or the Fight phase, just after a War Dog unit from your army that has not yet fought is destroyed.TARGET: That WAR DOG unit. You can use this Stratagem on that unit even though it was just destroyed.EFFECT: Before resolving your units Deadly Demise ability, it can either shoot or fight. When doing so, it must target only the enemy unit that just destroyed it, and can only do so if that enemy unit is an eligible target. After it has done so and after any Consolidation moves have been made, resolve your units Deadly Demise ability as normal.|
QT|HUNGRY FOR COMBAT|10313003|Houndpack Lance  Battle Tactic Stratagem|1.0|Eager to get into battle, these War Dogs hope to win glory and prove their worth to peers and masters alike.|Either players turn|Fight phase|Houndpack Lance|1077.0|WHEN: Start of the Fight phase.TARGET: Two or more War Dog units from your army within Engagement Range of the same enemy unit.EFFECT: Select one enemy unit within Engagement Range of those WAR DOG units. Until the end of the phase, models in those WAR DOG units can only target that enemy unit, but each time a model in one of those WAR DOG units makes an attack, an unmodified Hit roll of 5+ scores a Critical Hit.|
QT|VOX-HOWL|10313002|Houndpack Lance  Battle Tactic Stratagem|2.0|This artificially generated vox-borne rallying cry booms out across multiple wavelengths. It bolsters the courage of fellow War Dog pilots and their steeds, even as it fills the foes communications with squealing scrapcode and monstrous howling.|Either players turn|Shooting or Fight phase|Houndpack Lance|1077.0|"WHEN: Start of the Shooting phase or the start of the Fight phase.TARGET: One War Dog Character unit from your army.EFFECT: Each enemy unit within 6"" of your unit must take a Battle-shock test. Each friendly WAR DOG unit that is within 6"" of your unit and is Battle-shocked must take a Leadership test; if that test is passed, that unit is no longer Battle-shocked.RESTRICTIONS: You can only use this Stratagem once per turn."|
QT|ENCIRCLING PACK|10313007|Houndpack Lance  Strategic Ploy Stratagem|1.0|The War Dogs of the dread household move to outflank and encircle their prey.|Opponents turn|Fight phase|Houndpack Lance|1077.0|"WHEN: End of your opponents Fight phase.TARGET: One War Dog unit from your army that is wholly within 12"" of one or more battlefield edges and not within Engagement Range of one or more enemy units.EFFECT: Remove your unit from the battlefield and place it into Strategic Reserves."|
QT|HARRYING HOUNDS|10313006|Houndpack Lance  Strategic Ploy Stratagem|1.0|War Dogs fight with agility and guile, giving ground only to surge in on the attack from another angle.|Opponents turn|Movement phase|Houndpack Lance|1077.0|"WHEN: Your opponents Movement phase, just after an enemy unit ends a Normal, Advance or Fall Back move.TARGET: One War Dog unit from your army that is within 9"" of that enemy unit.EFFECT: Your unit can make a Normal move of up to 6""."|
QT|CUNNING HUNTER|10313004|Houndpack Lance  Strategic Ploy Stratagem|1.0|This War Dog's pilot knows when to feign fight or give ground, only to redouble their attack the moment their preys guard drops.|Your turn|Movement phase|Houndpack Lance|1077.0|WHEN: Your Movement phase, just after a War Dog unit from your army Falls Back.TARGET: That WAR DOG unit.EFFECT: Until the end of the turn, your unit is eligible to shoot and declare a charge in a turn in which it Fell Back.|
QT|SOUL HUNGER|9766004|Iconoclast Fiefdom  Battle Tactic Stratagem|1.0|Daemonic corruption, both physical and spiritual, has debased once noble machines. As the pilots of corrupted Knight suits slaughter mortal victims, their mechanical steed feeds upon stolen life forces and raw fear.|Either players turn|Fight phase|Iconoclast Fiefdom|989.0|WHEN: Fight phase, just after a CHAOS KNIGHTS unit from your army has fought.TARGET: That Chaos Knights unit.EFFECT: If one or more models were destroyed as a result of those attacks, your unit regains up to D3 lost wounds. If one or more models from Battle-shocked units were destroyed as a result of those attacks, your unit regains up to D3+2 lost wounds instead.|
QT|WRETCHED MASSES|9766003|Iconoclast Fiefdom  Battle Tactic Stratagem|2.0|In the wake of striding Knights are dragged tides of desperate zealots. No sooner has one horde of baying mortals fallen than another surges forth to take their place.|Either players turn|Any phase|Iconoclast Fiefdom|989.0|WHEN: Any phase.TARGET: One Damned unit (excluding Accursed Cultists) from your army that was just destroyed. You can use this Stratagem on that unit even though it was just destroyed.EFFECT: Add a new unit to your army identical to your destroyed unit, in Strategic Reserves, at its Starting Strength and with all of its wounds remaining.RESTRICTIONS: You can only use this Stratagem once per battle. This Stratagem cannot be used to return destroyed CHARACTER units to Attached units.|
QT|AVENGE THE MASTERS!|9766002|Iconoclast Fiefdom  Strategic Ploy Stratagem|1.0|As the object of their adulation is consumed by fire, mortal worshippers are roused to a desperate fury, seeking vengeance on behalf of their deceased master.|Either players turn|Any phase|Iconoclast Fiefdom|989.0|WHEN: Any phase.TARGET: One Chaos Knights unit from your army that was just destroyed. You can use this Stratagem on that unit even though it was just destroyed.EFFECT: Until the end of the battle, the enemy unit that destroyed your unit is Marked. Each time a Damned model from your army makes an attack that targets a Marked unit, that attack has the [LETHAL HITS] ability.|
QT|WORTHLESS CHATTEL|9766006|Iconoclast Fiefdom  Strategic Ploy Stratagem|1.0|The callous nobility of Iconoclast houses care naught for their devotees, obliterating enemies and mortal thralls alike in furious barrages of infernal firepower.|Your turn|Shooting phase|Iconoclast Fiefdom|989.0|WHEN: Your Shooting phase.TARGET: One Damned unit from your army.EFFECT: Until the end of the phase, enemy units are not considered to be within Engagement Range of your unit for the purposes of selecting targets of ranged weapons. Until the end of the phase, each time an enemy model loses a wound, while that models unit is within Engagement Range of your unit, roll one D6: on a 4+, one model from your unit is destroyed after the attacking unit has finished making its attacks.|
QT|UNRESTRAINED RAGE|9766005|Iconoclast Fiefdom  Strategic Ploy Stratagem|1.0|When consumed with battlelust, Fallen Nobles pilot their Knight suits with instinctive skill, rampaging through the enemies with horrific speed and savagery.|Your turn|Movement phase|Iconoclast Fiefdom|989.0|WHEN: Your Movement phase, just after a CHAOS KNIGHTS unit from your army Advances or Falls Back.TARGET: That Chaos Knights unit.EFFECT: Until the end of the turn, your unit is eligible to shoot and declare a charge in a turn in which it Advanced or Fell Back.|
QT|PRESERVE THE IDOLS|9766007|Iconoclast Fiefdom  Strategic Ploy Stratagem|1.0|Driven to preserve their Fallen Noble overlords, masses of mutants, cultists, and corrupted soldiers rush to interpose themselves between their knightly idols and the cursed foe.|Opponents turn|Movement phase|Iconoclast Fiefdom|989.0|"WHEN: Your opponents Movement phase, just after an enemy unit ends a Normal, Advance or Fall Back move.TARGET: One Chaos Knights unit from your army that is within 9"" of that enemy unit.EFFECT: Select one Damned unit from your army that is not Battle-shocked, not within Engagement Range of one or more enemy units and is within 6"" of your unit. That DAMNED unit can make a Normal move of up to 6"", but it must end this move closer to that enemy unit than when it started the move."|
QT|PROFANE SYMBIOSIS|10305002|Infernal Lance  Battle Tactic Stratagem|1.0|Some Fallen Nobles are conjoined, symbiotically or parasitically, with the hideous systems of their Chaos Knight. This allows them to channel more unholy energies, though not without risk.|Either players turn|Any phase|Infernal Lance|1075.0|WHEN: End of any phase.TARGET: One Chaos Knights unit from your army that is not Empowered.EFFECT: Your unit makes a Malefic Surge.RESTRICTIONS: You cannot select the same unit as the target of this Stratagem more than once per battle round.|
QT|HELLFORGED CONSTRUCTION|10305003|Infernal Lance  Battle Tactic Stratagem|1.0|Reinforced with warp-infused materials and warded through ritual blood sacrifice, these Chaos Knights can withstand unnatural levels of punishment.|Either players turn|Fight phase|Infernal Lance|1075.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One Chaos Knights unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.|
QT|CORRUPTING TAINT|10305004|Infernal Lance  Epic Deed Stratagem|1.0|The foul energies and unnatural influence of the Chaos Knights spread from them like sorcerous radiation, tainting all they touch.|Your turn|Command phase|Infernal Lance|1075.0|WHEN: Your Command phase, just after a Chaos Knights Character unit from your army makes a Malefic Surge.TARGET: That CHAOS KNIGHTS CHARACTER unit.EFFECT: Select one objective marker your unit is within range of that you control. That objective marker remains under your control until your opponents Level of Control over that objective marker is greater than yours at the end of a phase.|
QT|UNLEASH BALEFIRE|10305005|Infernal Lance  Wargear Stratagem|1.0|These weapons bathe the target in blasts of daemonic balefire that burns flesh and soul alike.|Your turn|Shooting phase|Infernal Lance|1075.0|"WHEN: Your Shooting phase.TARGET: One Chaos Knights unit from your army that has not been selected to shoot this phase.EFFECT: After your unit has shot, select one enemy unit hit by one or more of those attacks. That enemy unit must take a Battle-shock test; if the test is failed, until the end of your opponents next turn, it is aflame. While a unit is aflame, subtract 2"" from its Move characteristic and subtract 2 from Charge rolls made for it."|
QT|WARP VISION|10305006|Infernal Lance  Wargear Stratagem|1.0|Supernatural sensors perceive the soul-spoor of their prey, or even stare forward through fate and time.|Your turn|Shooting phase|Infernal Lance|1075.0|WHEN: Your Shooting phase.TARGET: One Chaos Knights unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, ranged weapons equipped by models in your unit have the [IGNORES COVER] ability.|
QT|DIABOLIC BULWARK|10305007|Infernal Lance  Wargear Stratagem|1.0|Ectoplasmic blood surges hot through glowing conduits as the Fallen Noble feeds power to their Knight suits supernaturally enhanced ion shield emitters.|Opponents turn|Shooting phase|Infernal Lance|1075.0|WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One Chaos Knights unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, models in your unit have a 4+ invulnerable save.|
QT|CLAIMED FOR THE DARK GODS|10309002|Lords of Dread  Epic Deed Stratagem|1.0|The Fallen Noble dedicates their latest conquest to the Dark Gods in hope of reward.|Either players turn|Command phase|Lords of Dread|1076.0|WHEN: Start of your Command phase.TARGET: One Chaos Knights Character unit from your army that is within range of one or more objective markers you control.EFFECT: Select one of those objective markers. That objective marker remains under your control, with a Level of Control of 5 (unless it would otherwise be higher), until your opponents Level of Control over that objective marker is greater than yours at the end of a phase.|
